,subject,relation,object,subject_type,object_type
376,26 million people,taken,test,NOUN_CHUNK,NOUN_CHUNK
377,the FDA,allowed,23andMe,ORG,NOUN_CHUNK
378,26 million people,Antonio Regalado,test,NOUN_CHUNK,NOUN_CHUNK
379,current DTC testing,uses,method,NOUN_CHUNK,NOUN_CHUNK
380,turn,lends,turn,NOUN_CHUNK,NOUN_CHUNK
381,program,predict,traits,NOUN_CHUNK,NOUN_CHUNK
382,Genome data,enable,new opportunities,NOUN_CHUNK,NOUN_CHUNK
383,retailers,offering,applications,NOUN_CHUNK,NOUN_CHUNK
384,cellular functions,provide,guidance,NOUN_CHUNK,NOUN_CHUNK
385,startups,take,holistic approaches,NOUN_CHUNK,NOUN_CHUNK
386,consumers,collect,stool sample mail genetic tests,NOUN_CHUNK,NOUN_CHUNK
387,Microbiome-.testing companies,offer,personalized.probiotic plans,NOUN_CHUNK,NOUN_CHUNK
388,discoveries,emerge,as.a byproduct,NOUN_CHUNK,NOUN_CHUNK
389,Mother Dirt,AOBiome’s consumer division,hygiene,ORG,NOUN_CHUNK
390,live ammonia oxidizing bacteria,convert,irritating components,NOUN_CHUNK,NOUN_CHUNK
391,L’Oréal,deepens,scientific focus,NORP,NOUN_CHUNK
392,personal care products,reduced,personal care products population,NOUN_CHUNK,NOUN_CHUNK
393,361 Oral care probiotics,deliver,cosmetic benefits,NOUN_CHUNK,NOUN_CHUNK
394,Gene therapy,improve,performance.of animals,NOUN_CHUNK,NOUN_CHUNK
395,death,Telegraph,Knapton,NOUN_CHUNK,PERSON
396,energy,transform,industries,NOUN_CHUNK,NOUN_CHUNK
397,applications,see,initial fast adoption,NOUN_CHUNK,NOUN_CHUNK
398,Example,use,cases,NOUN_CHUNK,NOUN_CHUNK
399,Labs,using,genetically engineered microbes,NOUN_CHUNK,NOUN_CHUNK
400,enormous uncertainty,surrounds,technologies,NOUN_CHUNK,NOUN_CHUNK
401,Estimates,represent,GDP,NOUN_CHUNK,NOUN_CHUNK
402,pharmaceuticals,Improve,existing fermentation,NOUN_CHUNK,NOUN_CHUNK
403,area,optimizing,economics,NOUN_CHUNK,NOUN_CHUNK
404,processes,offer,significant potential,NOUN_CHUNK,NOUN_CHUNK
405,parka,make,artificial spider silk,NOUN_CHUNK,NOUN_CHUNK
406,techniques,disrupt,industry,NOUN_CHUNK,NOUN_CHUNK
407,Biossance,commercialized,sugarcane derived substitute,NOUN_CHUNK,NOUN_CHUNK
408,Ecocert approved products,unlock,new segment,NOUN_CHUNK,NOUN_CHUNK
409,Ginkgo Bioworks,identified,DNA,PERSON,NOUN_CHUNK
410,players,bringing,novel differentiated bio based products to.market,NOUN_CHUNK,NOUN_CHUNK
411,Zymergen,announced,partnership,ORG,NOUN_CHUNK
412,companies,using,genetically engineered microbes to.create fuel,NOUN_CHUNK,NOUN_CHUNK
413,biochemicals.and biofuels company Gevo,developing,a fermentation.378,ORG,ORG
414,assessment,reduce,impact,NOUN_CHUNK,NOUN_CHUNK
415,technology,bears,fruit,NOUN_CHUNK,NOUN_CHUNK
416,Additional benefits,include,low fuel costs,NOUN_CHUNK,NOUN_CHUNK
417,lithium air devices,received,both.academic commercial attention,NOUN_CHUNK,NOUN_CHUNK
418,world,faces,interrelated environmental challenges,NOUN_CHUNK,NOUN_CHUNK
419,GHG emissions,reached,record high,NOUN_CHUNK,NOUN_CHUNK
420,Plants,performing,role,NOUN_CHUNK,NOUN_CHUNK
421,technologies,supplement,effort,NOUN_CHUNK,NOUN_CHUNK
422,Widespread adoption,involves,challenges,NOUN_CHUNK,NOUN_CHUNK
423,barriers,regulatory,barriers adoption,NOUN_CHUNK,NOUN_CHUNK
424,team,engineered,type,NOUN_CHUNK,NOUN_CHUNK
425,microalgae based biosequestration,reached,significant scale,NOUN_CHUNK,NOUN_CHUNK
426,algae cultivation,has,low biomass,NOUN_CHUNK,NOUN_CHUNK
427,dwindling resources,intensive,production,NOUN_CHUNK,NOUN_CHUNK
428,species,identify,environmental issues,NOUN_CHUNK,NOUN_CHUNK
429,Defense,lend,Defense,NOUN_CHUNK,NOUN_CHUNK
430,risks,outweigh,benefits,NOUN_CHUNK,NOUN_CHUNK
431,tech,targeting,waste,NOUN_CHUNK,NOUN_CHUNK
432,teachers expectations,known,strong impact,NOUN_CHUNK,NOUN_CHUNK
433,Genome wide association study,identifies,74 loci,NOUN_CHUNK,NOUN_CHUNK
434,Astronauts,conducting,space travel,NOUN_CHUNK,NOUN_CHUNK
435,medical research,space health,findings,NOUN_CHUNK,NOUN_CHUNK
436,NASA,conducting,research,ORG,NOUN_CHUNK
437,NASA NASA,followed,twin astronauts,ORG,NOUN_CHUNK
438,The NASA Twins Study,found,changes,ORG,NOUN_CHUNK
439,technical improvements,enabling,translation,NOUN_CHUNK,NOUN_CHUNK
440,computers,systems,capabilities,NOUN_CHUNK,NOUN_CHUNK
441,Biomachine interfaces,create,impact,NOUN_CHUNK,NOUN_CHUNK
442,Example,use,cases,NOUN_CHUNK,NOUN_CHUNK
443,Neuroergonomics,Interpret,emotions,ORG,NOUN_CHUNK
444,headsets,reduce,stress levels,NOUN_CHUNK,NOUN_CHUNK
445,Deep brain stimulation,Enhance,sensory,NOUN_CHUNK,NOUN_CHUNK
446,,Provide,basic gaming control,NOUN_CHUNK,NOUN_CHUNK
447,Estimates,represent,GDP,NOUN_CHUNK,NOUN_CHUNK
448,advanced biomachine interfaces,have,applications,NOUN_CHUNK,NOUN_CHUNK
449,refinements,include,sophisticated analytics,NOUN_CHUNK,NOUN_CHUNK
450,The EU,approved,the Argus II,ORG,ORG
451,The United States,approved,The EU,GPE,ORG
452,group,had,control,NOUN_CHUNK,NOUN_CHUNK
453,team,has,funding,NOUN_CHUNK,NOUN_CHUNK
454,437 Scientists,created,sensors,NOUN_CHUNK,NOUN_CHUNK
455,technique,have,significant,NOUN_CHUNK,NOUN_CHUNK
456,FDA,Julie Steenhuysen,retinal implant,ORG,NOUN_CHUNK
457,Chris Woodford,Explain,Stuff,PERSON,NOUN_CHUNK
458,Mike Butcher,closed,5.9 m Series,PERSON,NOUN_CHUNK
459,Neuroprosthetic leg,recreates,foot,NOUN_CHUNK,NOUN_CHUNK
460,Advances,improve,mobility,NOUN_CHUNK,NOUN_CHUNK
461,Locked syndrome patients,given,new revolutionary AI powered device,NOUN_CHUNK,NOUN_CHUNK
462,patients,in,Alzheimer,NOUN_CHUNK,NOUN_CHUNK
463,Exhibit 27.Neuroprosthetics,restore,motor control,NOUN_CHUNK,NOUN_CHUNK
464,Biomachine interfaces,have,consumer applications,NOUN_CHUNK,NOUN_CHUNK
465,451 team,spent,a week,NOUN_CHUNK,DATE
466,stimulation,primes,brain,NOUN_CHUNK,NOUN_CHUNK
467,Halo Halo,headset,primes,PERSON,NOUN_CHUNK
468,Deep brain stimulation,improves,depression symptoms,NOUN_CHUNK,NOUN_CHUNK
469,scientists,Olave Krigolson,astronauts mental performance,NOUN_CHUNK,NOUN_CHUNK
470,French company Pixium Vision,produced.infrared,bionic vision implants,ORG,NOUN_CHUNK
471,microprocessor,takes,infrared light,NOUN_CHUNK,NOUN_CHUNK
472,brain-wave-reading.technologies,control,phones,NOUN_CHUNK,NOUN_CHUNK
473,for.consumer use,limited,brain control,NOUN_CHUNK,NOUN_CHUNK
474,Current technologies,support,basic.interpretations,NOUN_CHUNK,NOUN_CHUNK
475,Darpa,announced,a four-year,ORG,DATE
476,project,investing,millions,NOUN_CHUNK,CARDINAL
477,devices,imagine,future,NOUN_CHUNK,NOUN_CHUNK
478,base pairs,encode,text,NOUN_CHUNK,NOUN_CHUNK
479,the European Bioinformatics Institute,reported,accuracy,ORG,NOUN_CHUNK
480,Machine,PC,optical computing,NOUN_CHUNK,NOUN_CHUNK
481,DNA,Andy Extance,world data,NOUN_CHUNK,NOUN_CHUNK
482,a megabyte,cost,"12,400",QUANTITY,MONEY
483,Microsoft,demonstrated,end end automated version,ORG,NOUN_CHUNK
484,Current DNA synthesis techniques,take,about 400,NOUN_CHUNK,CARDINAL
485,Biology based parallel computing,uses,designed molecules,NOUN_CHUNK,NOUN_CHUNK
486,DNA,Andy Extance,world data,NOUN_CHUNK,NOUN_CHUNK
487,speck,contains,movie,NOUN_CHUNK,NOUN_CHUNK
488,Microsoft,Jennifer Langston,fully automated DNA data storage,ORG,NOUN_CHUNK
489,DNA,Andy Extance,world data,NOUN_CHUNK,NOUN_CHUNK
490,Darpa,attracting,interest.from governments,ORG,NOUN_CHUNK
491,Technical appendix,comprises,following sections,NOUN_CHUNK,NOUN_CHUNK
492,cases,demonstrate,potential breadth,NOUN_CHUNK,NOUN_CHUNK
493,years,lost,entirety,DATE,NOUN_CHUNK
494,methodology,has,limitations,NOUN_CHUNK,NOUN_CHUNK
495,limitation,using,single carbon credit value,NOUN_CHUNK,NOUN_CHUNK
496,A1.We,applied,standardized adoption curve,NOUN_CHUNK,NOUN_CHUNK
497,second derivative,reaches,second derivative,NOUN_CHUNK,NOUN_CHUNK
498,hybrid science,that.involves,analysis,NOUN_CHUNK,NOUN_CHUNK
499,Clustered,interspaced,short palindromic repeats,NOUN_CHUNK,NOUN_CHUNK
500,technique,records,brain wave patterns,NOUN_CHUNK,NOUN_CHUNK
501,Fermentation,occurs,bacteria,NOUN_CHUNK,NOUN_CHUNK
502,marker assisted breeding,produce,GM organisms,NOUN_CHUNK,NOUN_CHUNK
503,conditions,include,hypertension,NOUN_CHUNK,NOUN_CHUNK
504,evolution,Has,best tools,NOUN_CHUNK,NOUN_CHUNK
505,"Champer, Jackson",Cheating,evolution,ORG,NOUN_CHUNK
506,"Champer, Jackson et al.",drive,experiments,ORG,NOUN_CHUNK
507,risks,do,annuity pricing models,NOUN_CHUNK,NOUN_CHUNK
508,DNA barcoding,Conçalves,illegal parrot trade,NOUN_CHUNK,NOUN_CHUNK
509,Revolutions,chart,course,NOUN_CHUNK,NOUN_CHUNK
510,Carnegie Mellon,F.Feinberg,low cost high efficiency 3-D bioprinter,ORG,NOUN_CHUNK
511,Kass,Understanding,opportunities,PERSON,NOUN_CHUNK
512,Lentzos,Prepare,program,NORP,NOUN_CHUNK
513,"Lyon, Delina et al.",Using,genomics,ORG,NOUN_CHUNK
514,Markram,Introducing the Human Brain Project,"Procedia Computer Science,.2011",ORG,ORG
515,States,Leads,Coming Biology Revolution,NOUN_CHUNK,NOUN_CHUNK
516,Deep brain stimulation,improves,depression symptoms,NOUN_CHUNK,NOUN_CHUNK
517,Okbay,identifies,74 loci,ORG,NOUN_CHUNK
518,Service,speed,drug discovery,NOUN_CHUNK,PRODUCT
519,Smit,imperative,lives,PERSON,NOUN_CHUNK
520,Fall webworm genomes,yield,insights,NOUN_CHUNK,NOUN_CHUNK
521,AI FRONTIER        Artificial intelligence,has,large potential,NOUN_CHUNK,NOUN_CHUNK
